// 日本全国自治体公式サイトリスト（http://linkdata.org/work/rdf1s2022i）の1741件で実行
$ xargs -a sitelist.txt ./fetchall.exe
Get http://www2.city.kamagaya.chiba.jp/index.html: dial tcp: lookup www2.city.kamagaya.chiba.jp: no such host
Get http://www.cs.town.gojome.akita.jp/index.htm: dial tcp: lookup www.cs.town.gojome.akita.jp: no such host
Get http://www2.town.biratori.hokkaido.jp/biratori/: dial tcp: lookup www2.town.biratori.hokkaido.jp: no such host
Get http://www.town.erimo.hokkaido.jp/: dial tcp: lookup www.town.erimo.hokkaido.jp: no such host
Get http://www.city.kashiwazaki.niigata.jp/: dial tcp: lookup www.city.kashiwazaki.niigata.jp: no such host
Get http://www2.ocn.ne.jp/~asakawa/: dial tcp: lookup www2.ocn.ne.jp: no such host
Get http://ns.town.chippubetsu.hokkaido.jp/: dial tcp: lookup ns.town.chippubetsu.hokkaido.jp: no such host
Get http://www.sai.e-shimokita.jp/: dial tcp: lookup www.sai.e-shimokita.jp: no such host
Get http://www.teshiotown.com/: dial tcp: lookup www.teshiotown.com: no such host
Get http://www.town.miyashiro.saitama.jp/: dial tcp: lookup www.town.miyashiro.saitama.jp: no such host
Get http://www.town.rikubetsu.hokkaido.jp/: dial tcp: lookup www.town.rikubetsu.hokkaido.jp: no such host
Get http://www.city-kitaibaraki.jp/: dial tcp: lookup www.city-kitaibaraki.jp: no such host
Get http://www.town.ami.ibaraki.jp/: dial tcp: lookup www.town.ami.ibaraki.jp: no such host
0.95s   21188 http://www.town.hokuryu.hokkaido.jp/
0.94s   18855 http://www.city.sano.lg.jp/
0.95s   25579 http://www.city.yashio.lg.jp/
0.95s   46241 http://www.city.tokorozawa.saitama.jp/
0.95s   39647 http://www.city.namerikawa.toyama.jp/
0.96s  143284 http://www.city.kanuma.tochigi.jp/
0.96s   35980 http://www.city.yokosuka.kanagawa.jp/
0.97s   46695 http://www.town.kamifurano.hokkaido.jp/
0.99s   31705 https://www.city.narashino.lg.jp/
0.96s   19019 http://www.city.ushiku.lg.jp/
0.98s   90512 http://www.city.sukagawa.fukushima.jp/
0.97s   29989 http://www.town.nagatoro.saitama.jp/
0.98s   25368 http://www.vill.chosei.chiba.jp/
0.99s   93770 http://www.city.yamagata-yamagata.lg.jp/
0.99s   64165 http://www.town.ajigasawa.lg.jp/
0.99s   42322 http://www.city.nagareyama.chiba.jp/
0.97s   16437 http://www.town.seiro.niigata.jp/
0.98s   40295 http://www.vill.tozawa.yamagata.jp/
1.01s   67531 http://www.city.ashibetsu.hokkaido.jp/
1.01s   40195 http://www.city.akabira.hokkaido.jp/
0.99s   29018 http://www.town.ichinomiya.chiba.jp/
1.00s   18664 http://www.city.yurihonjo.akita.jp/
0.99s   17622 http://town.pippu.hokkaido.jp/
1.02s   44150 http://www.city.muroran.hokkaido.jp/
1.02s   47915 http://www.city.abashiri.hokkaido.jp/
1.01s   34007 http://www.town.oumu.hokkaido.jp/
1.01s   27367 http://www.town.kimobetsu.hokkaido.jp/
0.99s   24741 http://www.town.furudono.fukushima.jp/
1.01s   43614 http://www.town.owani.lg.jp/
